========================================================================================
GondarII              	       DeviceKey
========================================================================================

========================================================================================		  
				   Change History
========================================================================================
v01.00.00     			Date: <08/06/2010>	    	Remarks: <ALL>
========================================================================================



###### Setup Codes For Audio - Amplifier (A) ######

PMB                                     0713, 1611, 1659
Polytron                                0396
Portugal Telecom                        2466
Premier                                 2176
Preisner                                0396, 1366
Premiere                                0723, 1429, 2176
Premium                                 1736
Pro Basic                               0853, 2205
Proline                                 1284, 1659
Proscan                                 0392, 0566
QNS                                     1367
Radiola                                 0200
RadioShack                              0869
Radix                                   0396
RCA                                     0392, 0566, 0143, 1291
Reliance                                2463
RFT                                     0200
RiksTV                                  1692, 2367
Roadstar                                0713, 0853
Rover                                   0713
SAB                                     1300, 1956
Saba                                    0740, 2205
Sagem                                   0208, 1004, 1114, 1690, 1692, 2107, 2553, 2564
Saivod                                  1659, 2418
Samsung                                 1377, 1276, 0253, 0853, 1206, 1442, 1609, 1662, 
                                        1682, 1916
Sansui                                  1545
Sanyo                                   1626
Sat Control                             1300
Sat Team                                0713
SAT+                                    1409
SatCatcher                              1956
Satec                                   0713
Satplus                                 1100
SatyCon                                 1631
Schaub Lorenz                           2418
Schneider                               1206
Schwaiger                               0740, 1334, 1429, 1631, 1672, 2308
SCS                                     0740
Sedea Electronique                      0114, 1206, 1626
Seeltech                                1993
Seemann                                 0396
SEG                                     0114, 1284, 1626, 1993
Servimat                                1611
ServiSat                                0713
Shark                                   1631
Sharp                                   1935, 2034
Sherwood                                1409
Siemens                                 0173, 1334, 1429, 1626, 1657
Sigmatek                                2139, 2418
SignalMAX                               1956
